St. Louis, Missouri, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1938-2000
Missing: -99
Date,Value,Anomaly
201910,57.3,-1.9
201911,41.8,-3.5
201912,39.8,5.2
202001,35.7,5.3
202002,37.3,2.0
202003,50.1,5.5
202004,54.4,-2.1
202005,64.7,-1.7
202006,78.2,2.5
202007,82.1,2.3
202008,77.1,-0.9
202009,70.4,0.2
202010,55.9,-3.3
202011,51.3,6.0
202012,37.5,2.9
202101,35.0,4.6
202102,26.4,-8.9
202103,51.7,7.1
202104,56.9,0.4
202105,65.3,-1.1
202106,78.3,2.6
202107,79.4,-0.4
202108,80.3,2.3
202109,73.5,3.3
202110,63.9,4.7
202111,46.2,0.9
202112,45.7,11.1
202201,29.0,-1.4
